letterboxd_link,tmdb,title,original_title,poster,trailer,synopsis,year,ignore_me,rating
king-arthur-legend-of-the-sword,274857,King Arthur: Legend of the Sword,King Arthur: Legend of the Sword,/gvSWdJN7peehxJYOugV9IwqiAFi.jpg,,"When the child Arthur’s father is murdered, Vortigern, Arthur’s uncle, seizes the crown. Robbed of his birthright and with no idea who he truly is, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword Excalibur from the stone, his life is turned upside down and he is forced to acknowledge his true legacy... whether he likes it or not.",2017,0,-1.0
power-rangers,305470,Power Rangers,Power Rangers,/iRAZIEgfB9N0BObV0QI61Nxh92h.jpg,,"Saban's Power Rangers follows five ordinary teens who must become something extraordinary when they learn that their small town of Angel Grove — and the world — is on the verge of being obliterated by an alien threat. Chosen by destiny, our heroes quickly discover they are the only ones who can save the planet. But to do so, they will have to overcome their real-life issues and before it’s too late, band together as the Power Rangers.",2017,0,-1.0
baby-driver,339403,Baby Driver,Baby Driver,/rmnQ9jKW72bHu8uKlMjPIb2VLMI.jpg,,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",2017,0,-1.0
gods-own-country-2017,428493,God's Own Country,God's Own Country,/uKShYyGsleXAZ6e6gK5jF6Wa2tW.jpg,,"A young farmer in rural Yorkshire numbs his daily frustrations with binge drinking and casual sex, until the arrival of a Romanian migrant worker.",2017,0,-1.0
get-out-2017,419430,Get Out,Get Out,/qbaIViX3tgWSTSFXbldq0ODMdi4.jpg,,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",2017,0,-1.0
columbus-2017,414453,Columbus,Columbus,/3ZE5Wl3CdfUH4BkWRmyMKPHkWHx.jpg,,"When a renowned architecture scholar falls suddenly ill during a speaking tour, his son Jin finds himself stranded in Columbus, Indiana - a small Midwestern city celebrated for its many significant modernist buildings. Jin strikes up a friendship with Casey, a young architecture enthusiast who works at the local library.",2017,0,-1.0
the-big-sick,416477,The Big Sick,The Big Sick,/qquEFkFbQX1i8Bal260EgGCnZ0f.jpg,,"Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.",2017,0,-1.0
the-lost-city-of-z,314095,The Lost City of Z,The Lost City of Z,/2FZqw7fP6r5BkPqo6LHzP4jwnHj.jpg,,"A true-life drama in the 1920s, centering on British explorer Col. Percy Fawcett, who discovered evidence of a previously unknown, advanced civilization in the Amazon and disappeared whilst searching for it.",2016,0,-1.0
20th-century-women,342737,20th Century Women,20th Century Women,/mso2rEr9i0MilRIOao5HaWFipS9.jpg,,"In 1979 Santa Barbara, California, Dorothea Fields is a determined single mother in her mid-50s who is raising her adolescent son, Jamie, at a moment brimming with cultural change and rebellion. Dorothea enlists the help of two younger women – Abbie, a free-spirited punk artist living as a boarder in the Fields' home and Julie, a savvy and provocative teenage neighbour – to help with Jamie's upbringing.",2016,0,-1.0
lady-macbeth,410117,Lady Macbeth,Lady Macbeth,/xWTJbhTwSTJmhLlX5xAOxPhdnXc.jpg,,"Rural England, 1865. Katherine, suffocated by her loveless marriage to a bitter man and restrained by his father's tyranny, unleashes an irresistible force within her, so powerful that she will stop at nothing to get what she wants.",2016,0,-1.0
the-light-between-oceans,283552,The Light Between Oceans,The Light Between Oceans,/c9S6VKZPllNgdxBUuI3GYJiqcKO.jpg,,A lighthouse keeper and his wife living off the coast of Western Australia raise a baby they rescue from an adrift rowboat.,2016,0,-1.0
