movie_link,genre_id
big-daddy,18
election,35
the-matrix,28
the-matrix,878
office-space,35
a-bugs-life,12
a-bugs-life,16
a-bugs-life,35
a-bugs-life,10751
armageddon,28
armageddon,53
armageddon,878
armageddon,12
out-of-sight,10749
out-of-sight,35
out-of-sight,80
the-truman-show,35
the-truman-show,18
fear-and-loathing-in-las-vegas,12
fear-and-loathing-in-las-vegas,18
fear-and-loathing-in-las-vegas,35
godzilla-1998,878
godzilla-1998,28
godzilla-1998,53
lock-stock-and-two-smoking-barrels,35
lock-stock-and-two-smoking-barrels,80
the-big-lebowski,35
the-big-lebowski,80
tomorrow-never-dies,12
tomorrow-never-dies,28
tomorrow-never-dies,53
jackie-brown,80
jackie-brown,53
jackie-brown,18
boogie-nights,18
the-game,18
the-game,53
the-game,9648
face-off,28
face-off,80
face-off,878
face-off,53
batman-robin,878
batman-robin,28
batman-robin,14
batman-robin,35
the-fifth-element,12
the-fifth-element,14
the-fifth-element,28
the-fifth-element,53
the-fifth-element,878
chasing-amy,35
chasing-amy,18
chasing-amy,10749
scream,80
scream,27
scream,9648
independence-day,28
independence-day,12
independence-day,878
